ship	leg	departure	arrival	startx	starty	destinationx	destinationy
2	1	1664	1664	1000	-100	740	591
3	1	1665	1665	1000	-100	740	591
4	1	1666	1666	1000	-100	740	591
5	1	1667	1667	1000	-100	740	591
6	1	1668	1668	1000	-100	740	591
7	1	1668	1668	1000	-150	740	591
8	1	1668	1668	1000	-200	740	591
9	1	1668	1668	1000	-250	740	591
10	1	1669	1669	1000	-100	740	591
11	1	1669	1669	1000	-150	740	591
12	1	1669	1669	1000	-200	740	591
13	1	1669	1669	1000	-250	740	591
14	1	1669	1669	1000	-300	740	591
15	1	1670	1670	1000	-100	740	591
16	1	1670	1670	1000	-150	740	591
17	1	1671	1671	1000	-100	740	591
18	1	1671	1671	1000	-150	740	591
19	1	1671	1671	1000	-200	740	591
20	1	1671	1671	1000	-250	740	591
21	1	1671	1671	1000	-300	740	591
22	1	1671	1671	1000	-350	740	591
23	1	1672	1672	1000	-100	740	591
24	1	1675	1675	1000	-100	740	591
25	1	1675	1675	1000	-150	740	591
26	1	1675	1675	1000	-200	740	591
27	1	1675	1675	1000	-250	740	591
28	1	1677	1677	1000	-100	740	591
29	1	1677	1677	1000	-150	740	591
30	1	1677	1677	1000	-200	740	591
31	1	1677	1677	1000	-250	740	591
32	1	1678	1678	1000	-100	740	591
33	1	1679	1679	1000	-100	740	591
34	1	1679	1679	1000	-150	740	591
35	1	1681	1681	1000	-100	740	591
36	1	1682	1682	1000	-100	740	591
37	1	1682	1682	1000	-150	740	591
38	1	1683	1683	1000	-100	740	591
39	1	1683	1683	1000	-150	740	591
40	1	1683	1683	1000	-200	740	591
41	1	1684	1684	1000	-100	740	591
42	1	1684	1684	1000	-150	740	591
43	1	1684	1684	1000	-200	740	591
44	1	1685	1685	1000	-100	740	591
45	1	1685	1685	1000	-150	740	591
46	1	1685	1685	1000	-200	740	591
47	1	1685	1685	1000	-250	740	591
48	1	1685	1685	1000	-300	740	591
49	1	1686	1686	1000	-100	740	591
50	1	1686	1686	1000	-150	740	591
51	1	1686	1686	1000	-200	740	591
52	1	1686	1686	1000	-250	740	591
53	1	1687	1687	1000	-100	740	591
54	1	1688	1688	1000	-100	740	591
55	1	1688	1688	1000	-150	740	591
56	1	1689	1689	1000	-100	740	591
57	1	1689	1689	1000	-150	740	591
58	1	1689	1689	1000	-200	740	591
59	1	1689	1689	1000	-250	740	591
60	1	1689	1689	1000	-300	740	591
61	1	1691	1691	1000	-100	740	591
62	1	1691	1691	1000	-150	740	591
63	1	1692	1692	1000	-100	740	591
64	1	1693	1693	1000	-100	740	591
65	1	1695	1695	1000	-100	740	591
66	1	1696	1696	1000	-100	740	591
67	1	1696	1696	1000	-150	740	591
68	1	1696	1696	1000	-200	740	591
69	1	1697	1697	1000	-100	740	591
70	1	1697	1697	1000	-150	740	591
71	1	1698	1698	1000	-100	740	591
72	1	1698	1698	1000	-150	740	591
73	1	1698	1698	1000	-200	740	591
74	1	1698	1698	1000	-250	740	591
75	1	1699	1699	1000	-100	740	591
76	1	1700	1700	1000	-100	740	591
77	1	1701	1701	1000	-100	740	591
78	1	1702	1702	1000	-100	740	591
79	1	1702	1702	1000	-150	740	591
80	1	1702	1702	1000	-200	740	591
81	1	1703	1703	1000	-100	740	591
82	1	1704	1704	1000	-100	740	591
83	1	1704	1704	1000	-150	740	591
84	1	1705	1705	1000	-100	740	591
85	1	1705	1705	1000	-150	740	591
86	1	1705	1705	1000	-200	740	591
87	1	1705	1705	1000	-250	740	591
88	1	1706	1706	1000	-100	740	591
89	1	1707	1707	1000	-100	740	591
90	1	1707	1707	1000	-150	740	591
91	1	1708	1708	1000	-100	740	591
92	1	1708	1708	1000	-150	740	591
93	1	1708	1708	1000	-200	740	591
94	1	1709	1709	1000	-100	740	591
95	1	1709	1709	1000	-150	740	591
96	1	1710	1710	1000	-100	740	591
97	1	1710	1710	1000	-150	740	591
98	1	1713	1713	1000	-100	740	591
